right_id	airline_name	icao_airline	country	from_city	to_city	max_freq	month
1895	МАУ	AUI	Грузія	Запоріжжя	Батумі	2	2017-04-20
1638	Дніпроавіа	UDN	Італійська Республіка	Івано-Франківськ	Салерно	2	2016-11-20
1675	МАУ	AUI	Грузія	Одеса	Кутаїсі	2	2016-12-20
1187	Українсько-середземноморські авіалінії	UKM	Італійська Республіка	Київ	Болонья	2	2015-08-20
1030	МАУ	AUI	Королівство Іспанія	Львів	Мадрид	2	2016-05-20
1136	РОЗА ВІТРІВ	WRC	Республіка Кіпр	Львів	Ларнака	2	2015-08-20
1859	Браво	BAY	Республіка Албанія	Київ	Тірана	2	2017-03-20
1027	МАУ	AUI	Литовська Республіка	Одеса	Вільнюс	2	2015-06-20
974	Українсько-середземноморські авіалінії	UKM	Республіка Ірак	Київ	Багдад	2	2014-05-20
1861	Браво	BAY	Республіка Болгарія	Харків	Бургас	2	2017-03-20
1862	Браво	BAY	Республіка Болгарія	Кривий Ріг	Бургас	2	2017-03-20
1671	МАУ	AUI	Італійська Республіка	Харків	Бергамо	2	2016-12-20
1674	МАУ	AUI	Португальська Республіка	Львів	Лісабон	2	2016-12-20
1684	ЯнЕір ЛТД	ANR	Держава Ізраїль	Кривий Ріг	Тель-Авів	2	2016-12-20
1453	МАУ	AUI	Грузія	Харків	Батумі	2	2016-05-20
1693	Браво	BAY	Фінляндська Республіка	Харків	Кіттіла	2	2016-12-20
1683	ЯнЕір ЛТД	ANR	Держава Ізраїль	Чернівці	Тель-Авів	2	2016-12-20
1703	РОЗА ВІТРІВ	WRC	Італійська Республіка	Львів	Брешія	2	2017-02-20
1685	ЯнЕір ЛТД	ANR	Грузія	Львів	Тбілісі	2	2016-12-20
1686	ЯнЕір ЛТД	ANR	Грузія	Львів	Батумі	2	2016-12-20
944	МАУ	AUI	Республіка Кіпр	Харків	Ларнака	2	2014-03-20
1121	МАУ	AUI	Італійська Республіка	Львів	Болонья	2	2015-08-20
1033	МАУ	AUI	Республіка Польща	Харків	Варшава	2	2015-06-20
1672	МАУ	AUI	Італійська Республіка	Львів	Неаполь	2	2016-12-20
1378	МАУ	AUI	Італійська Республіка	Івано-Франківськ	Неаполь	2	2016-04-20
1177	Дніпроавіа	UDN	Італійська Республіка	Івано-Франківськ	Болонья	2	2015-08-20
1289	РОЗА ВІТРІВ	WRC	Республіка Кіпр	Одеса	Ларнака	2	2016-03-20
1472	ЯнЕір ЛТД	ANR	Республика Вірменія	Одеса	Єреван	2	2016-06-20
1257	РОЗА ВІТРІВ	WRC	Королівство Іспанія	Київ	Аліканте	2	2016-02-20
1537	Браво	BAY	Туніська Республіка	Київ	Туніс	2	2016-09-20
1502	ЯнЕір ЛТД	ANR	Республіка Польща	Харків	Люблін	2	2016-07-20
951	Браво	BAY	Хашимітське Королівство Йорданія	Київ	Амман	2	2014-03-20
1511	Браво	BAY	Республіка Хорватія	Київ	Задар	2	2016-08-20
1377	РОЗА ВІТРІВ	WRC	Італійська Республіка	Івано-Франківськ	Брешія	2	2016-04-20
673	МАУ	AUI	Грецька Республіка	Київ	Салоніки	2	2013-12-20
1380	МАУ	AUI	Королівство Іспанія	Івано-Франківськ	Валенсія	2	2016-04-20
1489	Браво	BAY	Республіка Болгарія	Київ	Варна	2	2016-07-20
1539	Браво	BAY	Об'єднані Арабські Емірати	Київ	Рас-аль-Хайма	2	2016-09-20
1456	МАУ	AUI	Республіка Польща	Івано-Франківськ	Познан	2	2016-05-20
1464	РОЗА ВІТРІВ	WRC	Туніська Республіка	Київ	Енфіда	2	2016-06-20
1452	МАУ	AUI	Королівство Іспанія	Івано-Франківськ	Аліканте	2	2016-05-20
447	Українсько-середземноморські авіалінії	UKM	Хашимітське Королівство Йорданія	Київ	Амман	2	2013-09-20
701	РОЗА ВІТРІВ	WRC	Республіка Кіпр	Дніпро	Ларнака	2	2014-01-20
1570	РОЗА ВІТРІВ	WRC	Італійська Республіка	Івано-Франківськ	Салерно	2	2016-10-20
1609	МАУ	AUI	Литовська Республіка	Одеса	Каунас	2	2016-10-20
1501	ЯнЕір ЛТД	ANR	Республіка Польща	Одеса	Люблін	2	2016-07-20
1235	РОЗА ВІТРІВ	WRC	Республіка Узбекистан	Київ	Ташкент	2	2015-10-20
952	Браво	BAY	Республіка Ірак	Київ	Багдад	2	2014-03-20
639	МАУ	AUI	Республіка Узбекистан	Київ	Ташкент	2	2013-11-20
608	Українсько-середземноморські авіалінії	UKM	Ліванська Республіка	Київ	Бейрут	2	2013-09-20
